,Country ISO3,Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Admin 3 PCode,Admin 3 Name,Description,Cluster,Category,Population,In Need,Targeted,Affected,Reached,Info,Cluster Full
46,AFG,,,,,,,Final HRP caseload,ALL,total,46024352.0,22887726.0,16790412.0,,,,All Sectors
513,AFG,AF01,Kabul,,,,,Final HRP caseload,ALL,total,5917242.0,2580711.0,1718492.0,,,,All Sectors
960,AFG,,,AF0101,Kabul,,,Final HRP caseload,ALL,total,4363855.0,2007373.0,1235318.0,,,,All Sectors
1387,AFG,,,AF0102,Paghman,,,Final HRP caseload,ALL,total,203343.0,75383.0,70818.0,,,,All Sectors
1632,AFG,,,AF0103,Chahar Asyab,,,Final HRP caseload,ALL,total,81687.0,24641.0,20530.0,,,,All Sectors
1882,AFG,,,AF0104,Bagrami,,,Final HRP caseload,ALL,total,453317.0,164633.0,150551.0,,,,All Sectors
2152,AFG,,,AF0105,Deh Sabz,,,Final HRP caseload,ALL,total,185737.0,56635.0,47347.0,,,,All Sectors
2422,AFG,,,AF0106,Shakar Dara,,,Final HRP caseload,ALL,total,106355.0,35727.0,28104.0,,,,All Sectors
2687,AFG,,,AF0107,Musahi,,,Final HRP caseload,ALL,total,51084.0,16696.0,14673.0,,,,All Sectors
2937,AFG,,,AF0108,Mir Bacha Kot,,,Final HRP caseload,ALL,total,69338.0,23555.0,18507.0,,,,All Sectors
3206,AFG,,,AF0109,Khak-e-Jabbar,,,Final HRP caseload,ALL,total,33210.0,15921.0,15265.0,,,,All Sectors
3456,AFG,,,AF0110,Kalakan,,,Final HRP caseload,ALL,total,42577.0,16504.0,11251.0,,,,All Sectors
3764,AFG,,,AF0111,Guldara,,,Final HRP caseload,ALL,total,31350.0,12509.0,9398.0,,,,All Sectors
4038,AFG,,,AF0112,Farza,,,Final HRP caseload,ALL,total,37045.0,18256.0,18011.0,,,,All Sectors
4312,AFG,,,AF0113,Estalef,,,Final HRP caseload,ALL,total,34546.0,13391.0,9128.0,,,,All Sectors
4589,AFG,,,AF0114,Qara Bagh,,,Final HRP caseload,ALL,total,110106.0,45031.0,31428.0,,,,All Sectors
4894,AFG,,,AF0115,Surobi,,,Final HRP caseload,ALL,total,113692.0,54455.0,38165.0,,,,All Sectors
5175,AFG,AF02,Kapisa,,,,,Final HRP caseload,ALL,total,645836.0,249625.0,159266.0,,,,All Sectors
5524,AFG,,,AF0201,Mahmood-e-Raqi,,,Final HRP caseload,ALL,total,108439.0,34465.0,29177.0,,,,All Sectors
5751,AFG,,,AF0202,Hisa-e-Duwum-e-Kohistan,,,Final HRP caseload,ALL,total,82012.0,26155.0,20221.0,,,,All Sectors
5983,AFG,,,AF0203,Koh Band,,,Final HRP caseload,ALL,total,41455.0,19069.0,11442.0,,,,All Sectors
6248,AFG,,,AF0204,Hisa-e-Awal-e-Kohistan,,,Final HRP caseload,ALL,total,96484.0,38011.0,23096.0,,,,All Sectors
6550,AFG,,,AF0205,Nijrab,,,Final HRP caseload,ALL,total,132924.0,53767.0,29611.0,,,,All Sectors
6777,AFG,,,AF0206,Tagab,,,Final HRP caseload,ALL,total,121619.0,51988.0,28734.0,,,,All Sectors
7077,AFG,,,AF0207,Alasay,,,Final HRP caseload,ALL,total,62904.0,26170.0,16984.0,,,,All Sectors
7326,AFG,AF03,Parwan,,,,,Final HRP caseload,ALL,total,947698.0,337003.0,253507.0,,,,All Sectors
7685,AFG,,,AF0301,Charikar,,,Final HRP caseload,ALL,total,245386.0,75467.0,62204.0,,,,All Sectors
8013,AFG,,,AF0302,Bagram,,,Final HRP caseload,ALL,total,187688.0,55930.0,43170.0,,,,All Sectors
8317,AFG,,,AF0303,Shinwari,,,Final HRP caseload,ALL,total,68917.0,31702.0,19135.0,,,,All Sectors
8591,AFG,,,AF0304,Sayed Khel,,,Final HRP caseload,ALL,total,61541.0,20472.0,16987.0,,,,All Sectors
8837,AFG,,,AF0305,Jabal Saraj,,,Final HRP caseload,ALL,total,76407.0,28785.0,19647.0,,,,All Sectors
9124,AFG,,,AF0306,Salang,,,Final HRP caseload,ALL,total,46427.0,18794.0,12479.0,,,,All Sectors
9382,AFG,,,AF0307,Ghorband,,,Final HRP caseload,ALL,total,124345.0,46596.0,31490.0,,,,All Sectors
9646,AFG,,,AF0308,Koh-e-Safi,,,Final HRP caseload,ALL,total,39006.0,14823.0,10485.0,,,,All Sectors
9891,AFG,,,AF0309,Surkh-e-Parsa,,,Final HRP caseload,ALL,total,57264.0,28448.0,28273.0,,,,All Sectors
10099,AFG,,,AF0310,Shekh Ali,,,Final HRP caseload,ALL,total,40715.0,15985.0,9637.0,,,,All Sectors
10295,AFG,AF04,Maidan Wardak,,,,,Final HRP caseload,ALL,total,901219.0,371539.0,259941.0,,,,All Sectors
10643,AFG,,,AF0401,Maydan Shahr,,,Final HRP caseload,ALL,total,60446.0,25035.0,14811.0,,,,All Sectors
10910,AFG,,,AF0402,Nerkh,,,Final HRP caseload,ALL,total,93872.0,36008.0,27075.0,,,,All Sectors
11182,AFG,,,AF0403,Jalrez,,,Final HRP caseload,ALL,total,66371.0,24723.0,16914.0,,,,All Sectors
11494,AFG,,,AF0404,Chak-e-Wardak,,,Final HRP caseload,ALL,total,149541.0,66178.0,39692.0,,,,All Sectors
11767,AFG,,,AF0405,Saydabad,,,Final HRP caseload,ALL,total,187961.0,90185.0,63858.0,,,,All Sectors
12058,AFG,,,AF0406,Daymirdad,,,Final HRP caseload,ALL,total,62011.0,23139.0,17117.0,,,,All Sectors
12290,AFG,,,AF0407,Hesa-e-Awal-e-Behsud,,,Final HRP caseload,ALL,total,53245.0,20559.0,16016.0,,,,All Sectors
12482,AFG,,,AF0408,Jaghatu,,,Final HRP caseload,ALL,total,75301.0,26841.0,18594.0,,,,All Sectors
12663,AFG,,,AF0409,Markaz-e-Behsud,,,Final HRP caseload,ALL,total,152471.0,58872.0,45865.0,,,,All Sectors
12869,AFG,AF05,Logar,,,,,Final HRP caseload,ALL,total,698261.0,249144.0,184427.0,,,,All Sectors
13174,AFG,,,AF0501,Pul-e-Alam,,,Final HRP caseload,ALL,total,213310.0,68398.0,50947.0,,,,All Sectors
13448,AFG,,,AF0502,Baraki Barak,,,Final HRP caseload,ALL,total,158569.0,51692.0,38812.0,,,,All Sectors
13722,AFG,,,AF0503,Charkh,,,Final HRP caseload,ALL,total,73427.0,33776.0,18413.0,,,,All Sectors
14022,AFG,,,AF0504,Khoshi,,,Final HRP caseload,ALL,total,40109.0,16288.0,11213.0,,,,All Sectors
14284,AFG,,,AF0505,Mohammad Agha,,,Final HRP caseload,ALL,total,124393.0,38420.0,30446.0,,,,All Sectors
14553,AFG,,,AF0506,Kharwar,,,Final HRP caseload,ALL,total,45111.0,22034.0,21520.0,,,,All Sectors
14774,AFG,,,AF0507,Azra,,,Final HRP caseload,ALL,total,43343.0,18535.0,13076.0,,,,All Sectors
15024,AFG,AF06,Nangarhar,,,,,Final HRP caseload,ALL,total,3408138.0,1495006.0,1158882.0,,,,All Sectors
15378,AFG,,,AF0601,Jalalabad,,,Final HRP caseload,ALL,total,337092.0,152497.0,136209.0,,,,All Sectors
15686,AFG,,,AF0602,Behsud,,,Final HRP caseload,ALL,total,345660.0,166875.0,153328.0,,,,All Sectors
15982,AFG,,,AF0603,Surkh Rod,,,Final HRP caseload,ALL,total,363493.0,147196.0,102822.0,,,,All Sectors
16278,AFG,,,AF0604,Chaparhar,,,Final HRP caseload,ALL,total,222993.0,91844.0,69503.0,,,,All Sectors
16569,AFG,,,AF0605,Kama,,,Final HRP caseload,ALL,total,131974.0,63053.0,46691.0,,,,All Sectors
16830,AFG,,,AF0606,Kuz Kunar,,,Final HRP caseload,ALL,total,131286.0,55183.0,45975.0,,,,All Sectors
17066,AFG,,,AF0607,Rodat,,,Final HRP caseload,ALL,total,145663.0,59905.0,45449.0,,,,All Sectors
17371,AFG,,,AF0608,Khogyani,,,Final HRP caseload,ALL,total,261653.0,111823.0,79396.0,,,,All Sectors
17667,AFG,,,AF0609,Bati Kot,,,Final HRP caseload,ALL,total,172081.0,70510.0,52708.0,,,,All Sectors
17958,AFG,,,AF0610,Deh Bala,,,Final HRP caseload,ALL,total,77248.0,34094.0,26774.0,,,,All Sectors
18194,AFG,,,AF0611,Pachir Wa Agam,,,Final HRP caseload,ALL,total,99414.0,43313.0,33029.0,,,,All Sectors
18494,AFG,,,AF0612,Dara-e-Nur,,,Final HRP caseload,ALL,total,72622.0,30999.0,27518.0,,,,All Sectors
18751,AFG,,,AF0613,Kot,,,Final HRP caseload,ALL,total,101058.0,41560.0,31531.0,,,,All Sectors
19037,AFG,,,AF0614,Goshta,,,Final HRP caseload,ALL,total,87001.0,41639.0,26897.0,,,,All Sectors
19332,AFG,,,AF0615,Achin,,,Final HRP caseload,ALL,total,193314.0,85694.0,72211.0,,,,All Sectors
19637,AFG,,,AF0616,Shinwar,,,Final HRP caseload,ALL,total,155964.0,64319.0,49332.0,,,,All Sectors
19916,AFG,,,AF0617,Muhmand Dara,,,Final HRP caseload,ALL,total,120559.0,53764.0,34687.0,,,,All Sectors
20252,AFG,,,AF0618,Lalpur,,,Final HRP caseload,ALL,total,63203.0,30139.0,21338.0,,,,All Sectors
20557,AFG,,,AF0619,Sherzad,,,Final HRP caseload,ALL,total,135746.0,65081.0,41579.0,,,,All Sectors
20853,AFG,,,AF0620,Nazyan,,,Final HRP caseload,ALL,total,53921.0,23791.0,18398.0,,,,All Sectors
